household_id,device_model,firmware_version,plan_type,region,num_nodes,connected_devices,tenure_days,signup_date,churned
HH-00000,eero 6+,6.4.0,Basic,Midwest,3,15,135,2023-08-19,1
HH-00001,eero Max,6.4.0,Basic,Southwest,1,15,899,2021-07-16,0
HH-00002,eero Pro 6E,6.5.0,Basic,Midwest,2,15,381,2022-12-16,0
HH-00003,eero 6+,6.3.0,eero Plus,Northeast,3,19,877,2021-08-07,0
HH-00004,eero 6,6.5.0,eero Plus,Northeast,2,23,77,2023-10-16,0
HH-00005,eero 6,6.2.0,eero Secure+,Northeast,3,23,60,2023-11-02,0
HH-00006,eero 6,6.4.2,Basic,Southeast,5,20,504,2022-08-15,0
HH-00007,eero Max,6.4.2,eero Plus,Midwest,1,20,506,2022-08-13,0
HH-00008,eero Pro 6E,6.2.0,eero Plus,Midwest,3,15,248,2023-04-28,0
HH-00009,eero Pro 6E,6.4.0,eero Plus,Northeast,1,17,274,2023-04-02,1
HH-00010,eero 6,6.2.0,eero Secure+,Northeast,2,16,472,2022-09-16,1
HH-00011,eero Max,6.4.2,eero Plus,Northeast,1,14,530,2022-07-20,0
HH-00012,eero Pro 6E,6.4.0,eero Secure+,West,1,10,927,2021-06-18,0
HH-00013,eero 6,6.4.2,Basic,Midwest,2,18,798,2021-10-25,0
HH-00014,eero 6,6.2.0,eero Plus,West,2,21,284,2023-03-23,0
HH-00015,eero 6,6.3.0,Basic,West,4,21,99,2023-09-24,0
HH-00016,eero 6+,6.1.0,Basic,Midwest,3,21,484,2022-09-04,0
HH-00017,eero 6+,6.3.0,Basic,Southwest,5,21,607,2022-05-04,0
HH-00018,eero 6+,6.4.0,Basic,Northeast,3,14,1055,2021-02-10,0
HH-00019,eero 6,6.5.0,Basic,Southwest,1,13,524,2022-07-26,0
HH-00020,eero Pro 6E,6.4.2,Basic,Southeast,2,18,354,2023-01-12,0
HH-00021,eero 6,6.4.0,Basic,West,2,18,810,2021-10-13,0
HH-00022,eero 6,6.5.0,eero Secure+,Northeast,2,26,432,2022-10-26,0
HH-00023,eero 6+,6.4.2,Basic,Southwest,3,28,880,2021-08-04,0
HH-00024,eero 6+,6.5.0,eero Plus,Northeast,2,18,158,2023-07-27,0
HH-00025,eero Pro 6E,6.4.0,Basic,West,2,12,175,2023-07-10,0
HH-00026,eero 6,6.3.0,eero Secure+,Southeast,1,18,530,2022-07-20,0
HH-00027,eero 6+,6.1.0,eero Secure+,Midwest,1,16,37,2023-11-25,1
HH-00028,eero 6+,6.4.2,eero Plus,Midwest,1,14,249,2023-04-27,0
HH-00029,eero 6,6.2.0,eero Plus,Southeast,1,19,754,2021-12-08,0
HH-00030,eero Pro 6E,6.3.0,Basic,Midwest,3,18,131,2023-08-23,0
HH-00031,eero 6,6.4.0,eero Secure+,West,1,23,803,2021-10-20,0
HH-00032,eero 6,6.4.0,eero Secure+,Northeast,3,25,31,2023-12-01,0
HH-00033,eero Max,6.4.2,eero Secure+,West,2,16,724,2022-01-07,0
HH-00034,eero Max,6.2.0,eero Plus,Midwest,1,17,800,2021-10-23,0
HH-00035,eero Pro 6E,6.3.0,Basic,Southwest,4,25,863,2021-08-21,0
HH-00036,eero 6+,6.4.2,eero Secure+,Southeast,3,25,769,2021-11-23,0
HH-00037,eero 6,6.5.0,Basic,Midwest,1,16,229,2023-05-17,0
HH-00038,eero Pro 6E,6.4.2,eero Plus,West,4,22,55,2023-11-07,1
HH-00039,eero 6+,6.5.0,Basic,Southeast,1,14,973,2021-05-03,0
HH-00040,eero 6,6.4.2,eero Secure+,Midwest,1,15,131,2023-08-23,0
HH-00041,eero 6+,6.4.0,Basic,Northeast,3,22,992,2021-04-14,0
HH-00042,eero 6,6.2.0,Basic,Northeast,3,22,886,2021-07-29,0
HH-00043,eero Max,6.4.2,eero Plus,Midwest,2,12,401,2022-11-26,0
HH-00044,eero 6,6.4.2,eero Plus,Southwest,1,21,226,2023-05-20,0
HH-00045,eero Pro 6E,6.4.2,eero Plus,Midwest,4,25,539,2022-07-11,0
HH-00046,eero 6+,6.4.0,Basic,Northeast,2,16,1044,2021-02-21,0
HH-00047,eero 6+,6.4.0,Basic,Southeast,1,15,1083,2021-01-13,0
HH-00048,eero 6+,6.3.0,eero Plus,Southeast,2,16,952,2021-05-24,0
HH-00049,eero 6,6.4.0,eero Secure+,Midwest,4,24,328,2023-02-07,0
HH-00050,eero Max,6.2.0,eero Secure+,West,1,21,50,2023-11-12,0
HH-00051,eero Pro 6E,6.4.2,eero Plus,Southwest,3,19,1094,2021-01-02,0
HH-00052,eero Max,6.2.0,eero Secure+,Northeast,3,22,993,2021-04-13,0
HH-00053,eero Max,6.2.0,Basic,West,2,13,996,2021-04-10,0
HH-00054,eero 6+,6.4.0,eero Plus,Midwest,3,19,488,2022-08-31,0
HH-00055,eero Max,6.4.2,eero Plus,Southwest,5,22,543,2022-07-07,0
HH-00056,eero 6,6.4.0,Basic,Northeast,1,16,1097,2020-12-30,0
HH-00057,eero 6,6.3.0,eero Plus,Southwest,1,11,70,2023-10-23,0
HH-00058,eero 6,6.4.0,eero Plus,Southeast,4,24,867,2021-08-17,0
HH-00059,eero 6+,6.3.0,Basic,Southeast,3,23,292,2023-03-15,0
HH-00060,eero 6+,6.5.0,Basic,Northeast,2,24,714,2022-01-17,0
HH-00061,eero 6,6.5.0,Basic,Northeast,3,20,1062,2021-02-03,0
HH-00062,eero Pro 6E,6.4.0,eero Plus,Northeast,3,20,1052,2021-02-13,1
HH-00063,eero 6+,6.3.0,Basic,Southeast,3,23,157,2023-07-28,0
HH-00064,eero 6,6.4.2,Basic,Northeast,4,26,560,2022-06-20,0
HH-00065,eero 6+,6.1.0,eero Plus,Southwest,2,26,673,2022-02-27,0
HH-00066,eero 6,6.4.0,eero Plus,Northeast,2,16,554,2022-06-26,0
HH-00067,eero Pro 6E,6.3.0,eero Plus,Midwest,3,22,786,2021-11-06,0
HH-00068,eero 6,6.5.0,eero Plus,Northeast,2,18,995,2021-04-11,0
HH-00069,eero Max,6.1.0,eero Secure+,West,3,25,923,2021-06-22,0
HH-00070,eero Pro 6E,6.4.0,eero Secure+,West,2,21,788,2021-11-04,0
HH-00071,eero 6,6.4.2,eero Secure+,Southeast,1,14,261,2023-04-15,0
HH-00072,eero 6,6.4.0,eero Plus,Midwest,2,20,962,2021-05-14,0
HH-00073,eero Pro 6E,6.2.0,Basic,Northeast,3,19,117,2023-09-06,0
HH-00074,eero Pro 6E,6.5.0,eero Secure+,West,3,18,795,2021-10-28,0
HH-00075,eero Pro 6E,6.4.0,Basic,Midwest,2,20,666,2022-03-06,1
